CODES,DATES,CLOSE
000300.SH,2012/06/11,2558.265
000300.SH,2012/06/12,2540.178
000300.SH,2012/06/13,2580.636
000300.SH,2012/06/14,2560.421
000300.SH,2012/06/15,2568.054
000300.SH,2012/06/18,2581.212
000300.SH,2012/06/19,2558.621
000300.SH,2012/06/20,2552.611
000300.SH,2012/06/21,2512.185
000300.SH,2012/06/25,2456.518
000300.SH,2012/06/26,2454.915
000300.SH,2012/06/27,2447.195
000300.SH,2012/06/28,2425.729
000300.SH,2012/06/29,2461.612
000300.SH,2012/07/02,2465.238
000300.SH,2012/07/03,2468.721
000300.SH,2012/07/04,2464.919
000300.SH,2012/07/05,2430.37
000300.SH,2012/07/06,2472.614
000300.SH,2012/07/09,2416.036
000300.SH,2012/07/10,2406.706
000300.SH,2012/07/11,2425.572
000300.SH,2012/07/12,2449.181
000300.SH,2012/07/13,2450.633
000300.SH,2012/07/16,2399.731
000300.SH,2012/07/17,2414.201
000300.SH,2012/07/18,2414.335
000300.SH,2012/07/19,2424.322
000300.SH,2012/07/20,2398.455
000300.SH,2012/07/23,2365.431
000300.SH,2012/07/24,2375.992
000300.SH,2012/07/25,2360.083
000300.SH,2012/07/26,2347.488
000300.SH,2012/07/27,2349.108
000300.SH,2012/07/30,2335.793
000300.SH,2012/07/31,2332.922
000300.SH,2012/08/01,2358.651
000300.SH,2012/08/02,2334.882
000300.SH,2012/08/03,2353.737
000300.SH,2012/08/06,2385.611
000300.SH,2012/08/07,2388.873
000300.SH,2012/08/08,2389.795
000300.SH,2012/08/09,2411.7
000300.SH,2012/08/10,2399.751
000300.SH,2012/08/13,2351.931
000300.SH,2012/08/14,2357.016
000300.SH,2012/08/15,2331.615
000300.SH,2012/08/16,2319.67
000300.SH,2012/08/17,2313.476
000300.SH,2012/08/20,2301.788
000300.SH,2012/08/21,2313.703
000300.SH,2012/08/22,2295.586
000300.SH,2012/08/23,2302.199
000300.SH,2012/08/24,2275.677
000300.SH,2012/08/27,2228.204
000300.SH,2012/08/28,2238.411
000300.SH,2012/08/29,2214.814
000300.SH,2012/08/30,2211.37
000300.SH,2012/08/31,2204.868
000300.SH,2012/09/03,2228.369
000300.SH,2012/09/04,2204.407
000300.SH,2012/09/05,2199.875
000300.SH,2012/09/06,2217.823
000300.SH,2012/09/07,2317.179
000300.SH,2012/09/10,2326.666
000300.SH,2012/09/11,2311.89
000300.SH,2012/09/12,2320.071
000300.SH,2012/09/13,2298.461
000300.SH,2012/09/14,2315.542
000300.SH,2012/09/17,2258.705
000300.SH,2012/09/18,2235.239
000300.SH,2012/09/19,2246.236
000300.SH,2012/09/20,2195.951
000300.SH,2012/09/21,2199.063
000300.SH,2012/09/24,2215.516
000300.SH,2012/09/25,2210.154
000300.SH,2012/09/26,2184.891
000300.SH,2012/09/27,2251.717
000300.SH,2012/09/28,2293.106
000300.SH,2012/10/08,2270.054
000300.SH,2012/10/09,2320.157
000300.SH,2012/10/10,2324.117
000300.SH,2012/10/11,2302.533
000300.SH,2012/10/12,2304.531
000300.SH,2012/10/15,2294.857
000300.SH,2012/10/16,2298.162
000300.SH,2012/10/17,2300.803
000300.SH,2012/10/18,2336.077
000300.SH,2012/10/19,2332.47
000300.SH,2012/10/22,2341.592
000300.SH,2012/10/23,2312.077
000300.SH,2012/10/24,2307.779
000300.SH,2012/10/25,2291.239
000300.SH,2012/10/26,2247.907
000300.SH,2012/10/29,2235.854
000300.SH,2012/10/30,2239.882
000300.SH,2012/10/31,2254.82
000300.SH,2012/11/01,2297.884
000300.SH,2012/11/02,2306.774
000300.SH,2012/11/05,2301.88
000300.SH,2012/11/06,2292.206
000300.SH,2012/11/07,2287.505
000300.SH,2012/11/08,2245.405
000300.SH,2012/11/09,2240.924
000300.SH,2012/11/12,2251.848
000300.SH,2012/11/13,2212.44
000300.SH,2012/11/14,2223.11
000300.SH,2012/11/15,2193.623
000300.SH,2012/11/16,2177.24
000300.SH,2012/11/19,2174.985
000300.SH,2012/11/20,2164.881
000300.SH,2012/11/21,2194.896
000300.SH,2012/11/22,2177.546
000300.SH,2012/11/23,2192.676
000300.SH,2012/11/26,2175.599
000300.SH,2012/11/27,2150.638
000300.SH,2012/11/28,2129.161
000300.SH,2012/11/29,2115.676
000300.SH,2012/11/30,2139.661
000300.SH,2012/12/03,2108.85
000300.SH,2012/12/04,2131.473
000300.SH,2012/12/05,2207.878
000300.SH,2012/12/06,2203.602
000300.SH,2012/12/07,2246.757
000300.SH,2012/12/10,2271.046
000300.SH,2012/12/11,2258.5
000300.SH,2012/12/12,2267.767
000300.SH,2012/12/13,2242.635
000300.SH,2012/12/14,2355.865
000300.SH,2012/12/17,2366.7
000300.SH,2012/12/18,2368.12
000300.SH,2012/12/19,2371.109
000300.SH,2012/12/20,2384.816
000300.SH,2012/12/21,2372.002
000300.SH,2012/12/24,2381.217
000300.SH,2012/12/25,2448.395
000300.SH,2012/12/26,2457.619
000300.SH,2012/12/27,2444.594
000300.SH,2012/12/28,2480.049
000300.SH,2012/12/31,2522.952
000300.SH,2013/01/04,2524.409
000300.SH,2013/01/07,2535.985
000300.SH,2013/01/08,2525.33
000300.SH,2013/01/09,2526.126
000300.SH,2013/01/10,2530.569
000300.SH,2013/01/11,2483.23
000300.SH,2013/01/14,2577.725
000300.SH,2013/01/15,2595.856
000300.SH,2013/01/16,2577.092
000300.SH,2013/01/17,2552.758
000300.SH,2013/01/18,2595.439
000300.SH,2013/01/21,2610.898
000300.SH,2013/01/22,2596.898
000300.SH,2013/01/23,2607.456
000300.SH,2013/01/24,2582.755
000300.SH,2013/01/25,2571.674
000300.SH,2013/01/28,2651.863
000300.SH,2013/01/29,2675.866
000300.SH,2013/01/30,2688.711
000300.SH,2013/01/31,2686.882
000300.SH,2013/02/01,2743.324
000300.SH,2013/02/04,2748.028
000300.SH,2013/02/05,2771.675
000300.SH,2013/02/06,2775.844
000300.SH,2013/02/07,2759.87
000300.SH,2013/02/08,2771.725
000300.SH,2013/02/18,2737.471
000300.SH,2013/02/19,2685.606
000300.SH,2013/02/20,2702.635
000300.SH,2013/02/21,2610.549
000300.SH,2013/02/22,2596.604
000300.SH,2013/02/25,2604.96
000300.SH,2013/02/26,2567.595
000300.SH,2013/02/27,2594.677
000300.SH,2013/02/28,2673.327
000300.SH,2013/03/01,2668.836
000300.SH,2013/03/04,2545.715
000300.SH,2013/03/05,2622.807
000300.SH,2013/03/06,2650.202
000300.SH,2013/03/07,2619.479
000300.SH,2013/03/08,2606.927
000300.SH,2013/03/11,2592.372
000300.SH,2013/03/12,2555.615
000300.SH,2013/03/13,2527.486
000300.SH,2013/03/14,2534.273
000300.SH,2013/03/15,2539.873
000300.SH,2013/03/18,2502.493
000300.SH,2013/03/19,2525.097
000300.SH,2013/03/20,2610.174
000300.SH,2013/03/21,2614.988
000300.SH,2013/03/22,2618.308
000300.SH,2013/03/25,2613.097
000300.SH,2013/03/26,2575.05
000300.SH,2013/03/27,2583.53
000300.SH,2013/03/28,2499.302
000300.SH,2013/03/29,2495.083
000300.SH,2013/04/01,2493.187
000300.SH,2013/04/02,2486.391
000300.SH,2013/04/03,2483.547
000300.SH,2013/04/08,2472.299
000300.SH,2013/04/09,2489.43
000300.SH,2013/04/10,2485.309
000300.SH,2013/04/11,2477.876
000300.SH,2013/04/12,2462.112
000300.SH,2013/04/15,2436.818
000300.SH,2013/04/16,2459.592
000300.SH,2013/04/17,2458.473
000300.SH,2013/04/18,2464.851
000300.SH,2013/04/19,2533.827
000300.SH,2013/04/22,2530.67
